RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
L070696|1415|21489|LLANO RIVER 210 M DWNSTRM CONFL IN JUNCTION|00530|RESIDUE, TOTAL NONFILTRABLE (MG/L)||8|08/01/2002|11:00|0.33||||||LC|LC|RT|
L070926|1415|21489|LLANO RIVER 210 M DWNSTRM CONFL IN JUNCTION|00945|SULFATE (MG/L AS SO4)||8.55|12/17/2002|08:30|0.2||||||LC|LC|RT|
L073713|1415|21489|LLANO RIVER 210 M DWNSTRM CONFL IN JUNCTION|00940|CHLORIDE (MG/L AS CL)||11|08/11/2003|10:26|0.33||||||LC|LC|RT|
L074391|1415|21489|LLANO RIVER 210 M DWNSTRM CONFL IN JUNCTION|00940|CHLORIDE (MG/L AS CL)||6.2|10/14/2003|09:40|0.33||||||LC|LC|RT|00671 32213 values corrected per DCR 7/1/2004 MDMA
L078491|1415|21489|LLANO RIVER 210 M DWNSTRM CONFL IN JUNCTION|00940|CHLORIDE (MG/L AS CL)||12.7|12/02/2004|10:15|0.33||||||LC|LC|RT|
L070810|1415|21489|LLANO RIVER 210 M DWNSTRM CONFL IN JUNCTION|00945|SULFATE (MG/L AS SO4)||6.14|10/10/2002|10:40|0.33||||||LC|LC|RT|
L085374|1415|21489|LLANO RIVER 210 M DWNSTRM CONFL IN JUNCTION|00940|CHLORIDE (MG/L AS CL)||12.3|08/28/2006|10:55|0.3||||||LC|LC|RT|
L092130|1415|21489|LLANO RIVER 210 M DWNSTRM CONFL IN JUNCTION|00945|SULFATE (MG/L AS SO4)||6|10/06/2008|10:45|0.3||||||LC|LC|RT|
L087758|1415|21489|LLANO RIVER 210 M DWNSTRM CONFL IN JUNCTION|00940|CHLORIDE (MG/L AS CL)||10.5|10/01/2007|10:55|0.3||||||LC|LC|RT|
L091520|1415|21489|LLANO RIVER 210 M DWNSTRM CONFL IN JUNCTION|00530|RESIDUE, TOTAL NONFILTRABLE (MG/L)||9|08/04/2008|10:40|0.3||||||LC|LC|RT|
TX04320|1415|21489|LLANO RIVER 210 M DWNSTRM CONFL IN JUNCTION|00940|CHLORIDE (MG/L AS CL)||13|03/13/2014|11:30|0.3||||||TX|TU|RT|Lab Chemistry
TX04320|1415|21489|LLANO RIVER 210 M DWNSTRM CONFL IN JUNCTION|00945|SULFATE (MG/L AS SO4)||7|03/13/2014|11:30|0.3||||||TX|TU|RT|Lab Chemistry
L116254|1415|21548|NORTH LLANO RIVER 75 METERS UPSTREAM OF US 377 IN JUNCTION|00945|SULFATE (MG/L AS SO4)||15.6|10/20/2015|11:16|0.3||||||LC|LC|RT|
0033822|1415|17425|N LLANO R UPSTRM LLANO R|70300|RESIDUE,TOTAL FILTRABLE (DRIED AT 180C) (MG/L)||298|12/05/2001|14:21|0.3||||||WC|FO|RT|
0042238|1415|17425|N LLANO R UPSTRM LLANO R|00530|RESIDUE, TOTAL NONFILTRABLE (MG/L)||3|06/09/2003|14:20|0.3||||||WC|FO|RT|LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic Carbo
0042287|1415|17425|N LLANO R UPSTRM LLANO R|00530|RESIDUE, TOTAL NONFILTRABLE (MG/L)||4|12/15/2003|11:20|0.3||||||WC|FO|RT|
0050105|1415|17425|N LLANO R UPSTRM LLANO R|00940|CHLORIDE (MG/L AS CL)||20|03/03/2005|13:05|0.3||||||WC|FO|RT|
0050105|1415|17425|N LLANO R UPSTRM LLANO R|00945|SULFATE (MG/L AS SO4)||21|03/03/2005|13:05|0.3||||||WC|FO|RT|
